iter	MAE
0	0.6964153171
1	0.6920059342
2	0.6879030869
3	0.6844413588
4	0.6810193049
5	0.6777112569
6	0.6748260357
7	0.672112987
8	0.6697129184
9	0.6675304694
10	0.665427424
11	0.6634702704
12	0.6615559946
13	0.6596905962
14	0.6580309255
15	0.656628327
16	0.6551914266
17	0.6539441356
18	0.6528495056
19	0.6517411817
20	0.6506972214
21	0.6496671124
22	0.6488709989
23	0.6480903082
24	0.6473042304
25	0.6465109223
26	0.6458624303
27	0.645184336
28	0.644576521
29	0.6440350081
30	0.6435724305
31	0.6430973016
32	0.64267648
33	0.6422339865
34	0.6418145076
35	0.6414248198
36	0.641022995
37	0.6407463642
38	0.640418652
39	0.6400845285
40	0.6397437143
41	0.6394748213
42	0.6392194718
43	0.6389887046
44	0.6387719465
45	0.6386024632
46	0.6384315228
47	0.6382585307
48	0.6380522214
49	0.6378410773
50	0.6376467377
51	0.6374738432
52	0.6372489149
53	0.6370964548
54	0.636914916
55	0.6367767681
56	0.6366102228
57	0.6363855268
58	0.6361803432
59	0.6360244702
60	0.6358657134
61	0.6357405638
62	0.6356435303
63	0.6355063843
64	0.6354070098
65	0.6352894462
66	0.635110512
67	0.6349784976
68	0.6348428276
69	0.6347379978
70	0.6346532293
71	0.6345030224
72	0.6343762618
73	0.6342878649
74	0.6341836202
75	0.6340170817
76	0.6339149352
77	0.6338093175
78	0.633638319
79	0.6335713837
80	0.6334936788
81	0.6333816882
82	0.6332551428
83	0.633157065
84	0.6330679012
85	0.6329437486
86	0.6328019484
87	0.6326990579
88	0.6326402647
89	0.6325283611
90	0.6324555744
91	0.6323561017
92	0.6322466269
93	0.6321333082
94	0.6320502534
95	0.6319702683
96	0.6318861569
97	0.6317719836
98	0.6316711932
99	0.6315970701
100	0.631494304
101	0.6313125387
102	0.6311850391
103	0.6311136374
104	0.6310440667
105	0.6309507942
106	0.6308605219
107	0.6307915792
108	0.6306703949
109	0.6305786083
110	0.630531999
111	0.6304726003
112	0.6303540941
113	0.6302832438
114	0.6302368804
115	0.6301645238
116	0.630061283
117	0.629942738
118	0.6298889338
119	0.6298051315
120	0.6297312046
121	0.6296435995
122	0.6295603362
123	0.6294828983
124	0.6294187786
125	0.6293620997
126	0.6293275872
127	0.6292446658
128	0.6291736782
129	0.6291252036
130	0.6290534262
131	0.6289335588
132	0.6288650283
133	0.6288074011
134	0.6287410271
135	0.6286858801
136	0.6286125519
137	0.6284964585
138	0.6284163955
139	0.6283834802
140	0.6283460223
141	0.6282701813
142	0.6281896993
143	0.6281223833
144	0.6280435467
145	0.627945412
146	0.6278700062
147	0.6278261005
148	0.6277568675
149	0.6276832732
150	0.6276062846
151	0.6275316823
152	0.6274573346
153	0.6274239574
154	0.6273808907
155	0.6273412264
156	0.6272808826
157	0.6272565804
158	0.6272119981
159	0.6271696507
160	0.6271240083
161	0.6270593162
162	0.6269367153
163	0.6268716004
164	0.6267917685
165	0.6266862116
166	0.6266332351
167	0.6265695339
168	0.6264949588
169	0.6264524114
170	0.6264018009
171	0.6263203752
172	0.6262793044
173	0.6262187336
174	0.6261463277
175	0.6260670811
176	0.6260101002
177	0.6259421549
178	0.6258690674
179	0.6257949599
180	0.6257186543
181	0.625666358
182	0.6256105435
183	0.6255588441
184	0.6254830671
185	0.6254489085
186	0.6253581768
187	0.6253178283
188	0.6252647075
189	0.6251728832
190	0.6250927836
191	0.625024952
192	0.6249385387
193	0.6248594876
194	0.6248181995
195	0.6247545069
196	0.6247296862
197	0.624686703
198	0.6245561
199	0.6244827023
200	0.6244023538
201	0.6243398408
202	0.6242738306
203	0.6242222698
204	0.6241239004
205	0.6240688507
206	0.6240218058
207	0.6239611683
208	0.6239161397
209	0.6237975941
210	0.6237407913
211	0.6236114497
212	0.6235261921
213	0.6234680975
214	0.6234073786
215	0.623364443
216	0.6233206234
217	0.6232261856
218	0.6231539965
219	0.6230498376
220	0.6229709948
221	0.6229247769
222	0.6228091883
223	0.6227320106
224	0.6226587607
225	0.6225703113
226	0.6224635938
227	0.6223985834
228	0.6223699178
229	0.6222876814
230	0.6222303176
231	0.6221404896
232	0.6220780819
233	0.6219820381
234	0.6219117869
235	0.6218515414
236	0.6217714179
237	0.6216929278
238	0.621599344
239	0.621478019
240	0.6214131577
241	0.6213006565
242	0.6211736697
243	0.6210909345
244	0.6209814192
245	0.6208576384
246	0.6208128186
247	0.6206985452
248	0.6206256777
249	0.6205050213
250	0.6204115046
251	0.6203496304
252	0.6202542369
253	0.6202239882
254	0.6201647689
255	0.62007337
256	0.6200214922
257	0.6199418723
258	0.6198513827
259	0.6198222645
260	0.6197714782
261	0.6196945328
262	0.6196136615
263	0.6195732341
264	0.6194958787
265	0.619374695
266	0.6192855175
267	0.6192153171
268	0.6191297411
269	0.6190274477
270	0.6189399395
271	0.6188612266
272	0.6187637372
273	0.618733426
274	0.6186580202
275	0.6186339296
276	0.6185134656
277	0.6183768779
278	0.6182998429
279	0.6182175012
280	0.6181233043
281	0.618071328
282	0.6180313134
283	0.617977747
284	0.6179235033
285	0.6178633315
286	0.6177982934
287	0.61772852
288	0.6176595004
289	0.6176051722
290	0.6175358548
291	0.6174562444
292	0.617346267
293	0.6173000866
294	0.6172236323
295	0.6171679002
296	0.6171248299
297	0.6170695273
298	0.6169762584
299	0.6169243979
300	0.6168423113
301	0.6167574672
302	0.6166347156
303	0.616560671
304	0.6164653255
305	0.6163696262
306	0.6163064485
307	0.6162710838
308	0.6162241654
309	0.6161757454
310	0.6161308161
311	0.6160591041
312	0.6160187994
313	0.6159591651
314	0.6159110945
315	0.6158706679
316	0.6158426547
317	0.6157809271
318	0.6157237047
319	0.6156799041
320	0.6156430559
321	0.6155779223
322	0.6155103605
323	0.6154434431
324	0.6153685964
325	0.6153019983
326	0.6151930694
327	0.6150744959
328	0.6150308379
329	0.6149899743
330	0.6149463522
331	0.6148682392
332	0.6147920312
333	0.6147376931
334	0.6146629908
335	0.614560708
336	0.6145007494
337	0.6144424862
338	0.6143668123
339	0.6143123515
340	0.614255864
341	0.6141954921
342	0.6141510661
343	0.6140900376
344	0.6140550604
345	0.6140115666
346	0.6139520602
347	0.6138559774
348	0.6137818886
349	0.6137559543
350	0.6137125095
351	0.6136199105
352	0.6135447045
353	0.6135228824
354	0.6134791699
355	0.6134172805
356	0.6133300953
357	0.6132591231
358	0.6131708973
359	0.6131469852
360	0.613101865
361	0.6130673515
362	0.6130113299
363	0.6129200747
364	0.6128481884
365	0.6128045754
366	0.6127772619
367	0.612747495
368	0.6127109412
369	0.612682944
370	0.6126175311
371	0.6125917669
372	0.6125524282
373	0.6125294889
374	0.6124981519
375	0.6124468839
376	0.6124230653
377	0.6123634769
378	0.6122451244
379	0.6121902484
380	0.6121379885
381	0.6120794492
382	0.6120366418
383	0.611985008
384	0.6119299762
385	0.611895656
386	0.6118218558
387	0.6117608515
388	0.6117097518
389	0.6116010157
390	0.6115374952
391	0.611493706
392	0.611465675
393	0.611406333
394	0.6113515274
395	0.6113169515
396	0.6112769395
397	0.6112451834
398	0.6111920368
399	0.6111476064
400	0.611100134
401	0.6110563989
402	0.610961509
403	0.6109293605
404	0.6109044786
405	0.6108667127
406	0.6107975572
407	0.610749582
408	0.610714635
409	0.6105989135
410	0.6105747836
411	0.6105512063
412	0.6104828545
413	0.6104370077
414	0.6104156089
415	0.6103118087
416	0.6102818041
417	0.6102040581
418	0.6101681603
419	0.610079131
420	0.6100074256
421	0.6099291301
422	0.6098842897
423	0.6098524114
424	0.6097795193
425	0.6097288497
426	0.6096932181
427	0.6096344276
428	0.6095650043
429	0.6095397959
430	0.6094520598
431	0.6093647916
432	0.6093121829
433	0.6092248393
434	0.609153597
435	0.6090957053
436	0.6090506105
437	0.6089654627
438	0.6088952412
439	0.6088330807
440	0.6087539397
441	0.6087282498
442	0.6086226308
443	0.6085707348
444	0.6085365053
445	0.608469051
446	0.6083900378
447	0.6083340344
448	0.6082614285
449	0.6082188934
450	0.6081722569
451	0.6081247758
452	0.608047467
453	0.607990647
454	0.6079195707
455	0.6078539018
456	0.6078215646
457	0.6077380544
458	0.6076651787
459	0.6076057698
460	0.6075630904
461	0.6075343353
462	0.6074801739
463	0.6074200038
464	0.6073460007
465	0.6072945503
466	0.6072478354
467	0.6072006384
468	0.6071467566
469	0.6070918481
470	0.6070515028
471	0.6070012151
472	0.6069542502
473	0.6069248708
474	0.6069165383
475	0.6068818136
476	0.6068008795
477	0.6067757735
478	0.6067074298
479	0.6066199783
480	0.6065821213
481	0.606548649
482	0.6065121211
483	0.606485233
484	0.6064728812
485	0.6064394102
486	0.6064205218
487	0.6063947119
488	0.606326134
489	0.6062457628
490	0.6062108577
491	0.6061316613
492	0.6061182822
493	0.6060847002
494	0.6060392752
495	0.6060141555
496	0.6059946561
497	0.6059754956
498	0.605918654
499	0.6058891926
500	0.6058233922
501	0.6057799294
502	0.6057408692
503	0.6057160087
504	0.6056696953
505	0.6056193997
506	0.6055603519
507	0.6055022311
508	0.6054336786
509	0.6053695159
510	0.6053590174
511	0.605301034
512	0.6052343963
513	0.6051767351
514	0.6051582358
515	0.6050751539
516	0.6050145852
517	0.6049925825
518	0.6049338196
519	0.6049227023
520	0.6048762993
521	0.6048616815
522	0.6048113485
523	0.6047877416
524	0.6047564083
525	0.6047218897
526	0.6047067766
527	0.6046334786
528	0.6046287068
529	0.6045775553
530	0.6045475266
531	0.6045209287
532	0.6045003708
533	0.6044756813
534	0.6044382269
535	0.6043834948
536	0.6043453406
537	0.6042840169
538	0.6042518519
539	0.6042297262
540	0.6042197795
541	0.6041856628
542	0.6041301525
543	0.6040610689
544	0.6040201157
545	0.6039804691
546	0.6039702545
547	0.6039443053
548	0.6038768871
549	0.6038290402
550	0.6037652186
551	0.6037203793
552	0.6036832981
553	0.6036306391
554	0.6035933628
555	0.6035706269
556	0.6035338874
557	0.6034803257
558	0.6034169676
559	0.6034100252
560	0.6033356329
561	0.603267734
562	0.6031940087
563	0.6031511009
564	0.6031427204
565	0.6031151085
566	0.6030839691
567	0.602985782
568	0.6029410317
569	0.6029142519
570	0.6028713434
571	0.6028285476
572	0.6028170512
573	0.6027953199
574	0.6027451192
575	0.6027212935
576	0.6026895833
577	0.6026492688
578	0.6026090801
579	0.6025689018
580	0.6025135172
581	0.6024731295
582	0.6024260324
583	0.6023855251
584	0.6023766084
585	0.6023661885
586	0.6023415607
587	0.602323314
588	0.6023122511
589	0.6022787698
590	0.6022519145
591	0.6021333691
592	0.6020802068
593	0.6020218569
594	0.6020036751
595	0.6019406392
596	0.6018690888
597	0.6018404381
598	0.6017685175
599	0.6016887215
600	0.6016598733
601	0.6015990949
602	0.6015906275
603	0.6015816052
604	0.6015565359
605	0.6015286266
606	0.6014801141
607	0.6014239761
608	0.6014042087
609	0.6013679429
610	0.6013005606
611	0.6012788201
612	0.6012199799
613	0.6011529444
614	0.6011264228
615	0.6010522246
616	0.6010474199
617	0.6010322202
618	0.6009949432
619	0.6009126535
620	0.600858574
621	0.600821003
622	0.6007774695
623	0.6007179592
624	0.6006935853
625	0.6006685707
626	0.6006294497
627	0.6006007639
628	0.6005840235
629	0.6005333419
630	0.6004896397
631	0.6004549916
632	0.6004046348
633	0.6003724022
634	0.6003351253
635	0.6002915318
636	0.6002847673
637	0.6002165684
638	0.6001739159
639	0.6001460378
640	0.6001074169
641	0.6000838873
642	0.600059156
643	0.6000085097
