iter	Passed	Remaining
0	22	15631
1	39	13788
2	57	13401
3	74	13019
4	92	12880
5	110	12779
6	126	12494
7	142	12349
8	158	12159
9	174	12019
10	191	11976
11	208	11961
12	224	11885
13	242	11899
14	258	11811
15	274	11719
16	290	11673
17	307	11638
18	324	11613
19	340	11583
20	358	11583
21	374	11527
22	390	11484
23	406	11454
24	424	11456
25	440	11417
26	455	11361
27	472	11330
28	488	11312
29	504	11264
30	521	11252
31	538	11241
32	554	11215
33	573	11243
34	591	11237
35	608	11220
36	627	11250
37	644	11232
38	661	11204
39	677	11172
40	692	11129
41	731	11466
42	754	11526
43	777	11596
44	797	11607
45	816	11611
46	840	11682
47	861	11702
48	883	11737
49	906	11787
50	926	11785
51	943	11763
52	962	11746
53	980	11725
54	1040	12206
55	1065	12250
56	1080	12192
57	1097	12143
58	1114	12103
59	1130	12056
60	1147	12016
61	1162	11959
62	1176	11900
63	1194	11869
64	1210	11821
65	1226	11783
66	1243	11748
67	1260	11710
68	1275	11668
69	1292	11630
70	1309	11603
71	1324	11556
72	1341	11519
73	1356	11475
74	1372	11438
75	1388	11400
76	1404	11367
77	1421	11336
78	1439	11311
79	1454	11275
80	1470	11237
81	1487	11206
82	1503	11174
83	1519	11139
84	1536	11117
85	1553	11094
86	1570	11064
87	1585	11028
88	1600	10990
89	1618	10969
90	1633	10929
91	1648	10895
92	1664	10863
93	1679	10829
94	1694	10793
95	1710	10764
96	1726	10731
97	1741	10696
98	1756	10666
99	1772	10632
100	1788	10607
101	1808	10603
102	1824	10573
103	1841	10553
104	1856	10521
105	1871	10486
106	1887	10460
107	1903	10431
108	1920	10410
109	1936	10388
110	1953	10364
111	1968	10334
112	1984	10307
113	2000	10282
114	2016	10258
115	2033	10237
116	2051	10222
117	2069	10207
118	2087	10191
119	2105	10175
120	2122	10156
121	2139	10138
122	2157	10119
123	2174	10098
124	2190	10078
125	2207	10057
126	2224	10034
127	2243	10024
128	2260	10006
129	2279	9994
130	2298	9982
131	2315	9963
132	2332	9945
133	2350	9927
134	2367	9907
135	2383	9884
136	2400	9866
137	2420	9858
138	2437	9838
139	2454	9819
140	2471	9799
141	2490	9785
142	2507	9767
143	2524	9746
144	2540	9725
145	2559	9713
146	2578	9701
147	2595	9679
148	2613	9666
149	2655	9737
150	2685	9764
151	2712	9778
152	2733	9772
153	2754	9764
154	2775	9759
155	2792	9737
156	2810	9719
157	2828	9703
158	2847	9687
159	2864	9669
160	2885	9658
161	2902	9640
162	2922	9627
163	2939	9606
164	2955	9583
165	2973	9564
166	2991	9547
167	3008	9528
168	3025	9505
169	3043	9488
170	3059	9463
171	3076	9443
172	3093	9423
173	3111	9405
174	3127	9382
175	3146	9366
176	3162	9345
177	3180	9326
178	3198	9310
179	3216	9293
180	3234	9273
181	3252	9256
182	3270	9238
183	3287	9219
184	3305	9200
185	3321	9179
186	3340	9163
187	3357	9144
188	3374	9124
189	3394	9110
190	3412	9093
191	3430	9075
192	3447	9057
193	3466	9042
194	3484	9025
195	3502	9006
196	3520	8988
197	3537	8968
198	3556	8953
199	3574	8937
200	3592	8918
201	3610	8900
202	3628	8882
203	3645	8863
204	3663	8846
205	3681	8828
206	3698	8809
207	3716	8790
208	3733	8770
209	3752	8756
210	3769	8737
211	3789	8723
212	3807	8705
213	3825	8687
214	3842	8668
215	3859	8648
216	3877	8629
217	3896	8615
218	3914	8596
219	3933	8581
220	3950	8562
221	3968	8545
222	3987	8530
223	4007	8515
224	4025	8498
225	4043	8479
226	4063	8466
227	4081	8448
228	4098	8429
229	4116	8412
