cust_id,revenue_2018_2019
klantwj2374mzmab,209.85
a63atwr2ig2jfprr,82.93
zr7ihbfbi6gcy2tz,89.95
dt7cthjqnjmkbiu6,0.00
etcrrgcbrzfovyzj,0.00
3mytihagykiecpfl,220.00
t5e5vpa7mh776udm,409.94
w265b4ug6vqvef7v,549.26
mhj6hmzn5nrxliwo,141.90
pxhgex4ox635ui6t,0.00
6yh4kfwvxvi5zapw,53.97
36fpv5kzdmowzpxg,173.85
obla2bsmnxanoxjv,45.47
fsjx3dwrc4f4qsoj,151.00
jn2lyzmd4j6a3wky,180.76
rr3pkuxth4ofderp,0.00
ymrptslidlckoj3c,0.00
6yxp74fo36x76fil,0.00
uwshyltsz7j6xqc3,0.00
nza7mrfkerovotu4,0.00
byjooer6sr6mqbe4,115.90
cdnwlinctvyjcnv2,0.00
7a2tkgdenrggfgh3,50.91
2alo6djp3hjtfxki,0.00
szef6ml4mysqopzi,184.65
u3xsh6dcp7pfdjnq,80.95
mr6qtg2p7lhvhfqm,113.37
kesz45klq3whdmag,80.95
tvblpcmta2cyo3dm,0.00
sjpdnmvgg5h2u52x,80.95
4tu2vm4ialfdovvm,479.03
i6oowcra6gsacxb2,0.00
drnej5hlf3eee25q,29.97
di2kyt6ocll4qnwa,0.00
xqdncpqyxscwrpwl,0.00
32iq3zgfscn35xz7,303.21
ue2kmkaxnpfkzoiu,59.97
53aexhnpyocpsnvn,0.00
t664jo7uib7xndp2,437.54
v3wvkrrlnqoxebhl,86.30
ah4nnw2jbvz2xx6b,0.00
hb43e7aj3gdk6kox,437.15
iyxj2i4wztaagdsc,0.00
o3ovtynrg3w23yaq,0.00
da7qivhh6ax7qoyp,49.90
37wbipiojuxazyz6,0.00
52ukvaz6vtcczt3c,0.00
32ikhvpgzp4rnfgd,932.95
mvggb5ycp2jfuohg,88.63
ov4stzcw4ytf5pd6,150.06
gxdcnbfihhp7tv7m,0.00
4e2t6v7xmayyoupm,0.00
c76qchs2r23v6trr,0.00
g4hqsmo3y633xl52,62.96
b5npwp5yrxfqqajn,0.00
iygcmw7imj2tebwy,80.00
5fhhkqhest4zwxro,0.00
bcebrl26kq6umfgf,0.00
btt3qbio2nd7mi6m,0.00
4zbyvgfok6ek5ivh,0.00
y65k3eia53wqarom,89.95
n6yxdu7f7yruebs6,747.73
z4sqbekgvnouddir,0.00
idxc5gdu6nkawq2k,0.00
lfg3phipvpapzzco,0.00
avrpv7jgui36aekg,308.25
jl2mbfix243j7k5b,0.00
zy5ymvfr2avj3y7g,0.00
yigrpj6m2nwgjkql,0.00
75ccaqk5fngndijy,0.00
q2pokx43x5ihtkra,0.00
y4qebhppzkgch72u,0.00
gwmreicvaonvrbfw,0.00
oz2jzrdwdj6gq4i2,0.00
wevfp7qvasuggojz,0.00
klamgqwdxogf3uzd,147.67
a6cjnakmgbyfbjn5,0.00
hth5nb2l6kdajlpv,0.00
iyyxvmilbtlqjdth,0.00
xntjwwde6pxin2jf,91.00
ki7kovtyrsilzrzv,0.00
xjbw4fyubcuenwym,0.00
gkgjxmje3hpsxm44,0.00
2ofxrmn6b6xp73pc,120.21
g4rcmejimafukcuy,163.40
lv67756k7adf6mhg,77.35
to4knehzgzgh5hbj,35.00
drfh2oherb7najov,0.00
xsvx5fjtxi7vdvoc,0.00
uemi2yg5kpqxu4w7,390.97
7lxj7g4dhrs4yxbm,209.00
ltfjrublfhmzrtqm,0.00
ipvkcelkopwf6bst,65.99
nefikmrr6oyzw23c,164.83
zggu374betyuwkqb,59.95
z452vxvbidlr7tbe,48.57
tg7oahionjxnn4jh,0.00
qbgqve235mfrgxe4,0.00
qupffbo5k5wl3tdp,331.27
m566biqeas765drc,830.73
fr74nvkht3ifnbna,55.95
hneumj2zkko3i6pa,44.95
wazxnkde3hmuswco,98.90
batwxw73q7cv2awa,0.00
7q2jjt6el6pxjeyf,232.84
cjsz2omd6dy2acsm,0.00
yrhhgoikcgm23uem,0.00
fwanxavj57lv3dmm,49.95
fg5hwk7lmccsk6tf,0.00
5itx52nl4fj62jjb,0.00
yzxp3e2urusl6iro,0.00
pv7il4mr22npzcbp,0.00
73bq3mxmmq6lgkga,0.00
d7gjrve743qsyklc,0.00
jjgnyzjbz6frxhj2,99.95
4lio5g2aw356efif,0.00
ym7xf6zvlaxjecgr,0.00
aglvcm26duhtxac7,0.00
yqlnytkwyfxo625f,85.95
leay2755imxkozfl,459.85
mopvatn5raovpkrs,0.00
cspvl2kcn5zoyywy,613.01
nhw7mlt5asg2dxi2,255.85
6wkol4xmhbjwyqpk,80.91
zsch7wkpbwgtjktd,151.93
a4aakmrttahfuigr,214.13
yzxznmf4ucffbnw7,511.31
f3ja4nop43c276u7,447.23
nofj6we4nz5cjder,445.01
g2mcgeuywekbb2es,181.97
e26al2makvcrc34b,62.96
mw7vcsxg5ujhssg6,0.00
jpzisdf6lrzkfnkn,0.00
4acebx2dyiabpwrn,0.00
lea5xcldc27ccnzj,0.00
xqi7e37gogrxjwq5,0.00
urxnkm5w6vwsmw6m,0.00
g5m5kaaeeiirftxq,0.00
n7ix34atyrajylmg,23.97
cdhwwg42jieujquf,53.97
kraqngkqlqch64e4,0.00
yxpsifpgz3fnx5uc,0.00
6d62ckki4apfnbtd,0.00
kphvx753iaohbga3,0.00
hgudyxiabj2uhu6h,102.50
miikd7lywee4fumd,126.29
wklar56xxgwfamta,0.00
detbyvo6tdye4pik,593.05
4be6ugsbqbznrvso,0.00
chvsq5jgmavefloj,0.00
w7mw3hmfanjgxdof,0.00
a3dvutzolpxa66eb,127.96
dn7ey3k3cpjkm34i,265.03
uzqfquprx57flgkk,217.46
ad5hew66ipzvfykv,0.00
jeqq2d4jblhvp73r,283.15
7b2tgondrp7rmspt,0.00
5z4vrt54u6ctivjh,93.90
afskqtlntrplv3z4,0.00
itx4h5c6zkcfc2nn,151.84
4sp6ctapuzsextry,64.46
foqldaanz2l7yzew,203.98
cqmevfhr2cer37un,39.95
nmgbzpy4g2mzi5gw,153.00
vqr2pvmbnw23c7ob,53.90
k36u6i76kuptn2nw,0.00
cyq7n6mevsugd7kv,781.71
k4643mjx4r7aphhx,270.92
6o7ycr4ybvsxoy77,176.30
tflyqlql6y6x4sun,22.46
gg2kkgg375gk2fh6,0.00
3nvie65uc2fwdptz,89.95
cbiqushqbcwaczfq,374.02
nr2i3zhjaqwli3dc,183.25
mivwqxqg2bzi2uct,0.00
l5q7xviq6fn2pxsc,0.00
3o7q2c6epmets33b,174.97
cjxcwtncwc54s6nj,123.16
rjlauo5firwev2y5,93.90
e3dtfnxitybxcqew,185.95
